username,userid,profile_location,created_at,text,retweet_count,source,coordinates
im 30.😩,633837556,Los Angeles CA ,2023-01-24 03:59:39,"Check out Smoking Heavy in Warzone 2 https://t.co/jgswkPmexq

#Warzone2 #DMZ #AlMazrah #CallOfDuty #Warzone… https://t.co/5C3RZba5Rw",0,Twitter for iPhone,
Marc Pipitone,49912994,"Pasadena, CA",2023-01-24 02:23:18,"@AlexanderMan77 @RaiderJon Also that 0-5 stat isn't correct, Seahawks and broncos were won on the last possession in OT.",0,Twitter for Android,
Rob X,306411876,"Carson, CA",2023-01-24 00:14:52,"@m_booker1 Seahawks-Niners NFCCG, Colts-Pats 07 AFCCG, Rams-Chiefs Monday Night, Seahawks-Falcons ‘12 divisional",1,Twitter for iPhone,
ِ,1463703363946631170,"Los Angeles, CA",2023-01-23 23:53:05,@WatsonWR1 Would've been worse than the Seahawks game,0,Twitter Web App,
MarinersDynasty,1422751232368599040,"Los Angeles, CA",2023-01-23 23:45:05,"@UxderDog @swipagfx @TylerMWeiss_ Gotta say I haven't scouted LaPorta yet, will definitely raise him on the priorit… https://t.co/MZp9hjXIwk",0,Twitter for iPhone,
michael 🧸,1303902943079399424,"Los Angeles, CA",2023-01-23 21:41:28,@marstbirdjcn @DevinBushFan The broncos gave the Seahawks a 1st round pick for a qb that isn’t even better then Kenny or Brock purdy,0,Twitter for iPhone,
Abe,1081725968,"Long Beach, CA",2023-01-23 19:57:27,@MrBeenhadit12 That Super Bowl hangover you feel me. Can’t talk shit if my team sucks ass haha. Now I’m the 49’ers… https://t.co/9uMYxb1gPi,0,Twitter for iPhone,
LaQuan Jones,3597390736,"Los Angeles, CA",2023-01-23 18:14:35,What are we doing with Rashaad Penny? I think he resigns with the #Seahawks. It’s reported he’s making “solid progr… https://t.co/d3Vy2WxJPt,0,Twitter Web App,
Brian Kelly,466949997,"Los Angeles, CA",2023-01-23 18:12:00,@PurpleForTheWin Completely agree you probably could get a 1st from Jets or possible Seahawks,0,Twitter for iPhone,
Moose,701991546443272192,"Los Angeles, CA",2023-01-23 17:20:10,@TheOtherGarth We own the Seahawks,0,Twitter for iPhone,
Meth Butz,312490873,"Los Angeles, CA",2023-01-23 17:12:53,Ditto if you’re a Seahawks or Rams fan,0,Twitter for iPhone,
BUGSY28,1504216288536629249,"Los Angeles, CA",2023-01-23 15:26:47,"@EvilEmpire_FF Go watch his college film , like I did as a #real #49ers fan , dude can ball @brockpurdy13 . Before… https://t.co/nG4v2KC2r3",0,Twitter for iPhone,
Cedric James Morris,21901410,Culver City CA.,2023-01-23 11:51:33,"@facebook @fbsecurity @facebookapp @FacebookGaming @FacebookWatch @MetaNewsroom I post Seattle Seahawks stuff, I am… https://t.co/Y9hugOI7Ms",0,Twitter for iPhone,
V.V.H “THE BIG VANILLA SPORTS GURU”,1489648961627455492,"Los Angeles, CA",2023-01-23 09:35:46,Josh Allen Leads the NFL in turnovers the last 5 years…. You can’t call him elite anymore that’s dead convo. He sis… https://t.co/n5L9QS0jSh,0,Twitter for iPad,
Patches ⭐️ @ Birthday Month,1019563988,"Los Angeles, CA",2023-01-23 07:26:49,"Cowboys lose to Seahawks, 2006 Wild Card: GOD THIS FUCKING SUCKS WHAT THE FUCK

Cowboys lose to Niners, 2022 Divisi… https://t.co/TbUmEVxp7Y",0,Twitter for iPhone,
Evan Sowards,2268030421,"Los Angeles, CA",2023-01-23 07:08:00,Yes but I won gift cards from the team store doing trivia against the Seahawks and never got to buy a jersey with i… https://t.co/zgH3odBU26,0,Twitter for iPhone,
NFL Guru Joe ,532819897,"Long Beach, CA",2023-01-23 06:43:35,Every week is someone different for the Niners and I think that’s what makes them so tough to stop.  Against the Se… https://t.co/bCorKnPcws,0,Twitter for iPhone,
Alex,1401413315071385602,"Los Angeles, CA",2023-01-23 05:00:05,@pug49ers @SoFloBullsFan @NFL Yeah you’re right. Not all of us can play *checks notes* Kansas City week 7. Thats wh… https://t.co/WuutfO1aJQ,0,Twitter for iPhone,
jesus_shuttlesworth,321859329,"Inglewood, CA",2023-01-23 03:21:43,@Donthurtembo Seahawks already at home 🤔,0,Twitter for iPhone,
Big ass shotgun look like Lauri Markkanen,91000925,LA,2023-01-23 02:50:52,Cowboys and Seahawks packed up consecutively this is a dream,0,Twitter for Android,
