username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Spencer Scott,289738537,"Scottsdale, AZ",2023-01-24 04:51:37,@Seahawks after watching highlights I have revised my earlier thoughts. @TrentonSimpson_ and Lukas Van Ness would l… https://t.co/mYQOhX7oSK,0,Twitter for iPhone,
bob ruger,1350444829,"Peoria, Az",2023-01-23 12:04:39,"@Joe_Fann Ha ha, unlikely #seahawks sigh Smith. Serviceable QBs on rookie contracts is  the preferable option. Pay attention",0,Twitter for iPad,
Kurtis,1489305024773636096,Peoria,2023-01-23 05:30:25,"Man, all I heard all week. Every fucking day. Through discords and Twitter feeds. Cowboys +4. Cowboys +4. Bet Cowbo… https://t.co/2qeodrSEto",0,Twitter for iPhone,
Astoban☄️,1432262524607492099,Phoenix,2023-01-23 04:35:50,@Dur7nt @wsgseajay Better than any qb the Seahawks have ever had.,0,Twitter for iPhone,
Andrew Black,1427626791724793859,"Phoenix, AZ",2023-01-23 02:06:24,"Remember when Zeke would run over Kam Chancellor etc got paid, lost weight and now is … this… @Seahawks",0,Twitter for iPhone,
Andrew Black,1427626791724793859,"Phoenix, AZ",2023-01-23 01:53:52,Ok well… obviously they want the 49ers to win this one… @Seahawks,0,Twitter for iPhone,
JM,1503053723861282823,"Phoenix, AZ",2023-01-22 23:53:41,Funny story of why I’m a 49ers fan. So I moved from Colombia to Alaska when I was 11. Everyone up there was a Seaha… https://t.co/mZs4Qz8tZf,0,Twitter for iPhone,
Brian Miller,36662150,"Goodyear, AZ",2023-01-22 23:42:40,@robstaton Are they? The Bills are in the same place as the Seahawks after just playing a team with a QB on  rookie deal!!,0,Twitter for iPhone,
Kevin,248511770,"Phoenix, AZ",2023-01-22 23:11:53,@dms91 said the same thing about the seahawks and chargers !,0,Twitter for iPhone,
Sneakatoke,129605255,"Phoenix, AZ",2023-01-22 22:37:20,I HATE THIS SHIT!!!! First the #Seahawks and…. Fuck.  #BillsMafia https://t.co/OERd1sVjBJ,0,Twitter for iPhone,
Sneakatoke,129605255,"Phoenix, AZ",2023-01-22 21:53:48,And still can’t stand him or his dumb commercials. #BillsMafia #Seahawks https://t.co/4N9tq8p48N,0,Twitter for iPhone,
Shawna Hudson,167094063,"Phoenix, AZ",2023-01-22 20:08:45,@BridgetteCrowdr She’s always like it’s an experience lol I’m like no seeing the Seahawks was cold enough for me,0,Twitter for iPhone,
G,818268400673660929,"Phoenix, AZ",2023-01-21 20:51:30,"@barstoolsports As a packers fan, this is brutal to watch! LOL I didn’t realize how bad some of those games ended. Seahawks game woof",0,Twitter for iPhone,
Ky,3854226074,"Phoenix, AZ",2023-01-21 20:49:50,@ThugginCargo @JFowlerESPN @AdamSchefter Pretty identical. Might I add Seahawks have a more recent SB win. https://t.co/foI3JIgWXD,0,Twitter for iPhone,
Ky,3854226074,"Phoenix, AZ",2023-01-21 20:32:49,@FootballGirlAna @JFowlerESPN @AdamSchefter Would you be mad as a Seahawks fan if they brought in Lamar somehow?,0,Twitter for iPhone,
Bill Alvstad🎙️,1195324231,"Phoenix, AZ",2023-01-20 19:04:45,"3.
2/37: TE Michael Mayer: 6'4""/265lbs and runs potentially a sub 4.5 forty. He's the strongest, quickest, best han… https://t.co/lF5yAo6ggR",0,Twitter Web App,
Bill Alvstad🎙️,1195324231,"Phoenix, AZ",2023-01-20 19:04:44,"Thread: 1
Seahawks Mock Draft 2.0 / Best Player Available Addition. You probably won't like it.
1/5: QB C.J Stroud:… https://t.co/jmtzTZeRJM",0,Twitter Web App,
Gabe Owens,3241638373,"Surprise, AZ",2023-01-20 18:48:52,"@NyjMike Seahawks also got:

Cross, starting LT
Lucas, starting RT
Mafe, rotational DE, started a couple games
Bryant, Starting Slot Corner",0,Twitter Web App,
Andrew Black,1427626791724793859,"Phoenix, AZ",2023-01-20 17:12:23,Isn’t it weird to wear gear of a World Series or Super Bowl your team LOST?  I just can’t… @Seahawks https://t.co/OyylrHGX1J,0,Twitter for iPhone,
Sea Hawkers Booster Club,2426338740,"Seattle, WA",2023-01-20 15:18:13,Happy Blue Friday 12's! #GoHawks #12sEverywhere #Seahawks https://t.co/Ag75WB4VkK,3,Twitter for Android,
Best of the West,1450247642600984580,Phoenix,2023-01-20 02:49:12,Seahawks All-Pro kicker Jason Myers signs a 4-year $21.1 million extension. Myers made 34/37 field goals and 41/42… https://t.co/ElDxETHw4v,1,Twitter Web App,
José M. Romero,30504157,PHX ,2023-01-19 23:28:32,"Glad for Carthon. To think he was once an  undrafted player trying to make the Seahawks roster all those years ago,… https://t.co/40HA8lgzBh",0,Twitter Web App,
Damian Adams,48442826,"Phoenix, AZ",2023-01-19 20:00:27,@Romello185 @droppedballspod Teams winning their division with 8 wins or less has happened enough to make a change.… https://t.co/bcysW49L1W,0,Twitter for Android,
Andrew Black,1427626791724793859,"Phoenix, AZ",2023-01-19 17:19:53,"I would NEVER pay Sean Payton top dollar, he literally wasted Brees career, Brees set every qb record almost and ha… https://t.co/gbrCvlaIs6",0,Twitter for iPhone,
Ryan Guercio,1275839222495076352,"Phoenix, AZ",2023-01-19 06:06:53,@JayDizzyD The Seahawks lol,0,Twitter for iPhone,
Ryan Guercio,1275839222495076352,"Phoenix, AZ",2023-01-19 06:06:31,@DeeksViewOG Cmon man. Niners cowboys bills aren’t all top defenses? Parsons and Bosa aren’t top 5 players at their… https://t.co/OmbpKe3Ghw,0,Twitter for iPhone,
M.J.F,435309442,"Scottsdale, AZ",2023-01-18 22:56:18,"@SeahawksLegends @Seahawks This was a horrible game, it was good for 5 minutes",0,Twitter for iPhone,
Randy Obeir,1068189315619008512,"Phoenix, AZ",2023-01-18 21:35:17,@benbbaldwin Better season than the Seahawks,0,Twitter for iPhone,
Brad Denny,110845234,"Phoenix, AZ",2023-01-18 19:25:49,"Hey @NFL, please schedule the Steelers at Seahawks game for Oct. 22 &amp; their Rams trip for Nov. 12. 

Thanks in advance for your cooperation.",1,TweetDeck,
Paul,1335403015226978305,"Phoenix, AZ",2023-01-18 18:35:56,@LandonGibson @Saintjohnbutler Vikings has to be on that list along with Rams and Seahawks. Do you remember those playoff games?,0,Twitter for iPhone,
Paul,1335403015226978305,"Phoenix, AZ",2023-01-18 18:35:15,"@Saintjohnbutler Seahawks, Vikings, 49ers, Rams (LA &amp; STL) and of course Cowboys.",0,Twitter for iPhone,
Bill Alvstad🎙️,1195324231,"Phoenix, AZ",2023-01-18 17:38:52,Do you prefer to WATCH your Seahawks content on YouTube? We've got you covered. Hit that subscribe button for 3-sho… https://t.co/yszfKLS0Bq,0,Twitter Web App,
Bill Alvstad🎙️,1195324231,"Phoenix, AZ",2023-01-18 17:38:52,"Listen and subscribe to the best off-season #Seahawks  podcast! 3-shows each week! 
@HawksPlaybook @MyersNFL… https://t.co/NuAmpkzYjf",3,Twitter Web App,
Phoenix Bulls,1553872930517397504,"Phoenix, AZ",2023-01-18 17:11:58,@YardofWar @AaronRodgers12 Seahawks,0,Twitter for Android,
Sea Hawkers Booster Club,2426338740,"Seattle, WA",2023-01-18 15:49:37,@The33rdTeamFB Seahawks have 5th,0,Twitter for Android,
Reuben Juarez,501406814,"Phoenix, AZ",2023-01-18 03:46:38,To them #Seahawks fans 😂 #FTTB 😤 🌁 https://t.co/sQoBTRbtL0,0,Twitter for iPhone,
Unwanted_nibba,1006992153665363968,"Phoenix, AZ",2023-01-18 03:35:47,"@ruanmcfc Rams are
1-1 vs Niners 
2-0 vs Cardinals 
2-0 vs Seahawks",0,Twitter for Android,
Nick,1853323032,"Phoenix, AZ",2023-01-18 00:05:11,"@nfldraftscout Seahawks dont get comp pick if desai goes to browns for coordinator position, correct?",0,Twitter for iPhone,
